Name,PA,IP,Primary.WAR,Total.WAR,Position,Salary
Michael A Taylor,528,NA,1.86820459365845,1.9,NA,1750000
Andrew Heaney,NA,129.2,1.04849654436111,1.1,NA,6750000
Spencer Patton,NA,42.1,0.648179292678833,0.6,NA,100000
Dustin Garneau,68,NA,0.467272102832794,0.5,NA,100000
Jose Quintana,NA,63,0.333370000123978,0.4,NA,8000000
Starlin Castro,346,NA,0.398591548204422,0.4,NA,7000000
Travis Jankowski,157,NA,0.354955464601517,0.4,NA,100000
Aaron Sanchez,NA,35.1,0.404357463121414,0.3,NA,4000000
Chi Chi Gonzalez,NA,101.2,0.249069929122925,0.3,NA,100000
Yoshi Tsutsugo,262,NA,0.161504341289401,0.2,NA,7000000
Tyler Chatwood,NA,32,0.158892162144184,0.1,NA,3000000
Drew Hutchison,NA,21.1,0.14121288061142,0.1,NA,100000
Jake Lamb,170,NA,0.117714285850525,0.1,NA,1000000
Phil Gosselin,373,NA,0.11147590726614,0.1,NA,100000
Burch Smith,NA,43.1,0.0933494195342064,0.1,NA,705000
JT Riddle,6,NA,0.0821709856390953,0.1,NA,100000
Oliver Perez,NA,3.2,0.0805274024605751,0.1,NA,100000
Ender Inciarte,89,NA,0.0779279321432114,0.1,NA,8700000
Rafael Dolis,NA,32,0.0723782330751419,0.1,NA,1500000
AJ Ramos,NA,4.2,0.0707055777311325,0.1,NA,100000
Matt Andriese,NA,48.1,0.0623351037502289,0.1,NA,1850000
Erasmo Ramirez,NA,26.2,0.0575933903455734,0.1,NA,100000
Andy Burns,15,NA,0.103455349802971,0.1,NA,100000
Javy Guerra,NA,3.2,0.0509421899914742,0.1,NA,100000
Joe Biagini,NA,3,0.0479337684810162,0,NA,100000
Kyle Crick,NA,24.1,0.0283449869602919,0,NA,800000
Pedro Strop,NA,2,0.0240077394992113,0,NA,100000
Keynan Middleton,NA,31,0.003596710273996,0,NA,800000
Michael Feliz,NA,20,-0.0034023504704237,0,NA,1000000
Jon Jay,14,NA,-0.0052149640396237,0,NA,100000
Nick Tropeano,NA,8,-0.0247505735605955,0,NA,100000
Ryan Lavarnway,30,NA,-0.040427178144455,0,NA,100000
Reyes Moronta,NA,4,-0.0429773703217506,0,NA,695000
David Paulino,NA,2,-0.0483991727232933,0,NA,100000
John Brebbia,NA,18.1,-0.0520638935267925,-0.1,NA,800000
Jordan Zimmermann,NA,5.2,-0.0784657970070839,-0.1,NA,100000
David Hale,NA,26.2,-0.0919693782925606,-0.1,NA,850000
Pablo Sandoval,86,NA,-0.106738723814487,-0.1,NA,1000000
Abraham Almonte,175,NA,-0.117962263524532,-0.1,NA,570000
Renato Nunez,55,NA,-0.121358148753643,-0.1,NA,100000
Anthony Swarzak,NA,12.1,-0.133336187340319,-0.1,NA,100000
Daniel Robertson,90,NA,-0.155672624707222,-0.1,NA,900000
Alex Claudio,NA,32.2,-0.177414044737816,-0.2,NA,1125000
Jeff Mathis,9,NA,-0.18048831820488,-0.2,NA,100000
Tony Wolters,30,NA,-0.184007093310356,-0.2,NA,800000
Danny Santana,127,NA,-0.197091311216354,-0.2,NA,100000
Hoby Milner,NA,21.2,-0.247354343533516,-0.2,NA,100000
Ross Detwiler,NA,52.1,-0.264545419253409,-0.2,NA,850000
Hernan Perez,21,NA,-0.276034444570541,-0.2,NA,100000
Carl Edwards Jr.,NA,5.2,-0.234169125556946,-0.2,NA,100000
Kyle Ryan,NA,13.1,-0.243582412600517,-0.3,NA,800000
Vince Velasquez,NA,94.1,-0.276744044618681,-0.3,NA,4000000
Zack Godley,NA,3.1,-0.276283383369446,-0.3,NA,100000
Brandon Workman,NA,28,-0.293033063411713,-0.3,NA,100000
Cam Bedrosian,NA,25,-0.298180337995291,-0.3,NA,1500000
Adam Eaton,288,NA,-0.306896656751633,-0.3,NA,7000000
Brandon Kintzler,NA,29.2,-0.310351222753525,-0.3,NA,100000
Shawn Armstrong,NA,36,-0.317756034433842,-0.3,NA,825000
Bryan Holaday,34,NA,-0.234594330191612,-0.3,NA,100000
Johan Camargo,18,NA,-0.323496729135513,-0.3,NA,1360000
Josh Lindblom,NA,16.2,-0.319303512573242,-0.3,NA,3041666
Maikel Franco,403,NA,-0.333823651075363,-0.3,NA,800000
Jay Bruce,39,NA,-0.334087759256363,-0.3,NA,100000
Andrew Romine,64,NA,-0.291786223649979,-0.3,NA,100000
Scott Kingery,19,NA,-0.342552810907364,-0.3,NA,4250000
Josh Osich,NA,14.1,-0.372203052043915,-0.4,NA,100000
Todd Frazier,40,NA,-0.376727521419525,-0.4,NA,100000
Shelby Miller,NA,12.2,-0.392887316644192,-0.4,NA,100000
Chase Anderson,NA,48,-0.28679758310318,-0.4,NA,4000000
Eric Sogard,180,NA,-0.359803557395935,-0.5,NA,100000
Ryan Buchter,NA,16.1,-0.481517970561981,-0.5,NA,100000
Dan Winkler,NA,39.2,-0.485798001289368,-0.5,NA,900000
Nomar Mazara,181,NA,-0.541816592216492,-0.5,NA,1750000
Jake Arrieta,NA,98.2,-0.714555472135544,-0.6,NA,4000000
Matt Joyce,69,NA,-0.581332206726074,-0.6,NA,100000
Marwin Gonzalez,307,NA,-0.66979606449604,-0.7,NA,3000000
Erik Gonzalez,229,NA,-0.717232942581177,-0.7,NA,1225000
David Dahl,220,NA,-0.768124639987946,-0.8,NA,2700000
Nate Jones,NA,19,-0.860922247171402,-0.9,NA,100000
JaCoby Jones,105,NA,-0.977853536605835,-1,NA,2650000
Gregory Polanco,382,NA,-1.15669798851013,-1.2,NA,11600000
Joe Panik,257,NA,-1.16957655549049,-1.2,NA,100000
Luis Garcia A,NA,155.1,3.14091563224792,3.1,NA,NA
Jose Iglesias,511,NA,1.04190999269485,1,NA,NA
Andy Ibanez,272,NA,1.02655136585236,1,NA,NA
Bailey Ober,NA,92.1,0.968131065368652,1,NA,NA
Anthony Bender,NA,61.1,0.982689797878265,1,NA,NA
Bryan De La Cruz,219,NA,0.778517127037048,0.8,NA,NA
Luis Garcia C,NA,33.1,0.689749836921692,0.7,NA,NA
Joe Ryan,NA,26.2,0.58667653799057,0.6,NA,NA
Yonny Hernandez,166,NA,0.529986619949341,0.5,NA,NA
Spencer Howard,NA,49.2,0.343896798789501,0.5,NA,NA
Joe Barlow,NA,29,0.386538088321686,0.4,NA,NA
Jharel Cotton,NA,30.2,0.349277794361115,0.3,NA,NA
Nick Fortes,34,NA,0.342617928981781,0.3,NA,NA
Alex Kirilloff,231,NA,0.255544900894165,0.3,NA,NA
Juan Minaya,NA,40,0.229231178760529,0.2,NA,NA
Drew Anderson,NA,22,0.14616784453392,0.1,NA,NA
Nick Vincent,NA,12.2,0.138361722230911,0.1,NA,NA
Nick Gordon,216,NA,0.121526978909969,0.1,NA,NA
Jovani Moran,NA,8,0.0844897255301476,0.1,NA,NA
Andy Young,104,NA,0.0816679820418358,0.1,NA,NA
Sean Guenther,NA,20.1,0.0728490054607391,0.1,NA,NA
Jose Devers,46,NA,0.071316197514534,0.1,NA,NA
Devin Smeltzer,NA,4.2,0.0425500795245171,0,NA,NA
Payton Henry,16,NA,0.0393786430358887,0,NA,NA
Andrew Bellatti,NA,3.1,0.0361180081963539,0,NA,NA
Lewis Thorpe,NA,15.1,0.0171214230358601,0,NA,NA
Rob Refsnyder,157,NA,-0.0010471394052729,0,NA,NA
Nick Snyder,NA,3.2,-0.0274839624762535,0,NA,NA
Lewin Diaz,128,NA,-0.0445816852152348,0,NA,NA
AJ Alexy,NA,23,-0.0538238249719143,-0.1,NA,NA
Jorge Guzman,NA,1.2,-0.0590927414596081,-0.1,NA,NA
Preston Guilmet,NA,2,-0.0853368416428566,-0.1,NA,NA
Brent Rooker,213,NA,-0.157881453633308,-0.2,NA,NA
Paul Campbell,NA,26.2,-0.123248815536499,-0.2,NA,NA
Luis Garcia N,247,NA,-0.198434293270111,-0.2,NA,NA
Yairo Munoz,11,NA,-0.200471103191376,-0.2,NA,NA
Anthony Bemboom,28,NA,-0.156731054186821,-0.2,NA,NA
Edward Cabrera,NA,26.1,-0.386707127094269,-0.4,NA,NA
Griffin Jax,NA,82,-0.710873007774353,-0.7,NA,NA
