Name,PA,IP,Primary.WAR,Total.WAR,Position,Salary.y
Jose Barrero,56,NA,-0.0393337868154049,0,NA,NA
Felix Pena,NA,1.2,-0.0394267998635769,0,NA,NA
Brian Miller,11,NA,-0.040192011743784,0,NA,NA
Garrett Stubbs,38,NA,-0.0421683043241501,0,NA,NA
Joseph Odom,2,NA,-0.0426686927676201,0,NA,NA
Clarke Schmidt,NA,6.1,-0.0789112821221352,0,NA,NA
Brady Lail,NA,2,-0.0438284426927567,0,NA,NA
Colten Brewer,NA,1,-0.0439795404672623,0,NA,NA
Tyler Payne,2,NA,-0.044430710375309,0,NA,NA
Lewin Diaz,128,NA,-0.0445816852152348,0,NA,NA
Patrick Weigel,NA,4,-0.0463235937058926,0,NA,NA
Konner Wade,NA,12.1,-0.0466526448726654,0,NA,NA
Pedro Avila,NA,4,-0.0361961200833321,0,NA,NA
Brandon Dickson,NA,2,-0.0475871823728085,0,NA,NA
Donovan Walton,69,NA,-0.0496888570487499,0,NA,NA
Taylor Williams,NA,11.2,-0.0511165000498295,-0.1,NA,NA
Jesse Biddle,NA,10.2,-0.0517479367554188,-0.1,NA,NA
Wilfredo Tovar,12,NA,-0.0518101714551449,-0.1,NA,NA
Ryan Hartman,NA,2.1,-0.0520315431058407,-0.1,NA,NA
AJ Alexy,NA,23,-0.0538238249719143,-0.1,NA,NA
Luis Frias,NA,3.1,-0.0539380759000778,-0.1,NA,NA
Asher Wojciechowski,NA,4,-0.0559451393783092,-0.1,NA,NA
Jimmy Lambert,NA,13,-0.0564435347914696,-0.1,NA,NA
Aaron Fletcher,NA,3.2,-0.0567783191800117,-0.1,NA,NA
Jorge Guzman,NA,1.2,-0.0590927414596081,-0.1,NA,NA
Kyle Tyler,NA,12.1,-0.0594231225550175,-0.1,NA,NA
Taylor Trammell,178,NA,-0.0597806125879288,-0.1,NA,NA
Adrian Sanchez,38,NA,-0.0600068680942059,-0.1,NA,NA
Ty Tice,NA,8,-0.0602444354444742,-0.1,NA,NA
Travis Lakins Sr.,NA,28,-0.061224639415741,-0.1,NA,NA
Yohel Pozo,77,NA,-0.0615803562104702,-0.1,NA,NA
Jandel Gustave,NA,18.1,-0.0388102903962135,-0.1,NA,NA
Kevin Padlo,15,NA,-0.0619089063256979,-0.1,NA,NA
Mike Kickham,NA,2,-0.0635972321033478,-0.1,NA,NA
Ramon Rosso,NA,8,-0.0528924316167831,-0.1,NA,NA
Colin Rea,NA,6,-0.0415547080338001,-0.1,NA,NA
Sam Clay,NA,45,-0.0424186773598194,-0.1,NA,NA
Braden Bishop,5,NA,-0.0659642592072487,-0.1,NA,NA
Eric Hanhold,NA,10.1,-0.066993311047554,-0.1,NA,NA
Taylor Jones,108,NA,-0.0695319920778275,-0.1,NA,NA
Trey Amburgey,4,NA,-0.071853332221508,-0.1,NA,NA
Hunter Owen,5,NA,-0.072830505669117,-0.1,NA,NA
Jared Hoying,3,NA,-0.0729826986789703,-0.1,NA,NA
Cody Poteet,NA,30.2,-0.0376875214278698,-0.1,NA,NA
Geoff Hartlieb,NA,9,-0.0766735021024942,-0.1,NA,NA
Sean Kazmar Jr.,2,NA,-0.0781912803649902,-0.1,NA,NA
Ryne Harper,NA,35.2,-0.0567895658314228,-0.1,NA,NA
Elvis Peguero,NA,2.1,-0.0801240354776382,-0.1,NA,NA
Jack Lopez,16,NA,-0.0819149687886238,-0.1,NA,NA
Stuart Fairchild,17,NA,-0.0828397423028946,-0.1,NA,NA
Bryse Wilson,NA,74,0.0667793415486813,-0.1,NA,NA
Preston Guilmet,NA,2,-0.0853368416428566,-0.1,NA,NA
Ronnie Dawson,6,NA,-0.087461531162262,-0.1,NA,NA
Jaylin Davis,9,NA,-0.0886179581284523,-0.1,NA,NA
Humberto Arteaga,4,NA,-0.0896358788013458,-0.1,NA,NA
Spenser Watkins,NA,54.2,-0.0897624641656876,-0.1,NA,NA
Trevor Hildenberger,NA,2.1,-0.0897984281182289,-0.1,NA,NA
Josh Rogers,NA,35.2,0.0077184783294796,-0.1,NA,NA
Alex Blandino,82,NA,-0.0100006582215428,-0.1,NA,NA
Alexander Wells,NA,42.2,-0.0927084907889366,-0.1,NA,NA
Kyle Lobstein,NA,1.1,-0.0930284410715103,-0.1,NA,NA
Scott Hurst,5,NA,-0.0958638489246368,-0.1,NA,NA
Taylor Gushue,4,NA,-0.0977449789643288,-0.1,NA,NA
Daniel Zamora,NA,4.1,-0.0988494604825974,-0.1,NA,NA
Yohan Ramirez,NA,27.2,-0.0992589071393013,-0.1,NA,NA
Reiss Knehr,NA,29,-0.0133838597685099,-0.1,NA,NA
Daz Cameron,115,NA,-0.100415177643299,-0.1,NA,NA
Ryan Vilade,7,NA,-0.101432524621487,-0.1,NA,NA
Julian Fernandez,NA,6.2,-0.101619221270084,-0.1,NA,NA
Enyel De Los Santos,NA,35.1,-0.101685801288113,-0.1,NA,NA
Jason Foley,NA,10.1,-0.101789593696594,-0.1,NA,NA
Austin Pruitt,NA,7.1,-0.103211402893066,-0.1,NA,NA
Shawn Morimando,NA,10.1,-0.0714389383792877,-0.1,NA,NA
Justin Steele,NA,57,-0.10366003960371,-0.1,NA,NA
Brad Brach,NA,30,-0.109385453164577,-0.1,NA,NA
Ralph Garza,NA,30.1,-0.109445743262768,-0.1,NA,NA
Kutter Crawford,NA,2,-0.10959829390049,-0.1,NA,NA
Brian O'Grady,61,NA,-0.110058009624481,-0.1,NA,NA
Miguel Diaz,NA,42,-0.0782182663679123,-0.1,NA,NA
Luke Williams,108,NA,-0.111389629542828,-0.1,NA,NA
Ryan Meisinger,NA,7.1,-0.112164825201035,-0.1,NA,NA
Ian Gibaut,NA,6.2,-0.113336302340031,-0.1,NA,NA
Luke Farrell,NA,24.2,-0.114490911364555,-0.1,NA,NA
Thomas Eshelman,NA,27.2,-0.103611133992672,-0.1,NA,NA
Aaron Northcraft,NA,8,-0.115159466862679,-0.1,NA,NA
Vinny Nittoli,NA,1,-0.115388989448547,-0.1,NA,NA
Reid Detmers,NA,20.2,-0.151273056864738,-0.1,NA,NA
Ben Rowen,NA,11.1,-0.116353794932365,-0.1,NA,NA
Jay Flaa,NA,2.2,-0.116732739028521,-0.1,NA,NA
Michael Rucker,NA,28.1,-0.105844356119633,-0.1,NA,NA
Junior Fernandez,NA,20.2,-0.106824435293674,-0.1,NA,NA
Janson Junk,NA,16.1,-0.118471406400204,-0.1,NA,NA
Wade LeBlanc,NA,49,0.0187044218182564,-0.1,NA,NA
Manny Barreda,NA,2.2,-0.121284946799278,-0.1,NA,NA
Austin Brice,NA,13.2,-0.121978767216206,-0.1,NA,NA
Nick Martini,45,NA,-0.122171550989151,-0.1,NA,NA
Connor Seabold,NA,3,-0.122624166309834,-0.1,NA,NA
Thomas Szapucki,NA,3.2,-0.114182196557522,-0.1,NA,NA
Rodolfo Castro,93,NA,-0.126681819558144,-0.1,NA,NA
Robert Dugger,NA,25.2,-0.128712877631187,-0.1,NA,NA
Shea Spitzbarth,NA,5,-0.129713505506516,-0.1,NA,NA
Ryan Dorow,7,NA,-0.132342398166656,-0.1,NA,NA
Ljay Newsome,NA,14.2,-0.132947072386742,-0.1,NA,NA
Stefan Crichton,NA,23.1,-0.132965624332428,-0.1,NA,NA
Scott Heineman,34,NA,-0.133574619889259,-0.1,NA,NA
Jace Fry,NA,6.2,-0.134211331605911,-0.1,NA,NA
Packy Naughton,NA,22.2,-0.12346239387989,-0.1,NA,NA
Drew Carlton,NA,3.2,-0.134330168366432,-0.1,NA,NA
Stephen Nogosek,NA,3,-0.123987086117268,-0.1,NA,NA
Cole Tucker,131,NA,-0.13518151640892,-0.1,NA,NA
Patrick Mazeika,87,NA,-0.136589676141739,-0.1,NA,NA
Kent Emanuel,NA,17.2,-0.136834874749184,-0.1,NA,NA
Mauricio Dubon,187,NA,-0.138715967535973,-0.1,NA,NA
Tyler Webb,NA,16.1,-0.129286989569664,-0.1,NA,NA
RJ Alaniz,NA,2.2,-0.129139021039009,-0.1,NA,NA
Peter Lambert,NA,5.2,-0.118368655443192,-0.1,NA,NA
Yoan Lopez,NA,12.1,-0.146854028105736,-0.1,NA,NA
Emmanuel Rivera,98,NA,-0.147335946559906,-0.1,NA,NA
Josiah Gray,NA,70.2,-0.0106977224349976,-0.1,NA,NA
Enoli Paredes,NA,8.2,-0.147648930549622,-0.1,NA,NA
Jose Rojas,184,NA,-0.148366317152977,-0.1,NA,NA
Troy Stokes Jr.,20,NA,-0.149766400456429,-0.1,NA,NA
Ryan Castellani,NA,3.1,-0.140568614006042,-0.2,NA,NA
Anderson Tejeda,17,NA,-0.155069813132286,-0.2,NA,NA
Anthony Banda,NA,33.2,-0.146442331373692,-0.2,NA,NA
Brent Rooker,213,NA,-0.157881453633308,-0.2,NA,NA
Alberto Baldonado,NA,10.2,-0.157922625541687,-0.2,NA,NA
Mason Thompson,NA,24.2,-0.161513920873404,-0.2,NA,NA
Zack Burdi,NA,10,-0.162376558408141,-0.2,NA,NA
Mike Brosseau,169,NA,-0.164315402507782,-0.2,NA,NA
Jake Newberry,NA,4.1,-0.16452930867672,-0.2,NA,NA
Miguel Sanchez,NA,26,-0.154896125197411,-0.2,NA,NA
Tim Lopes,11,NA,-0.16653548181057,-0.2,NA,NA
Marcos Diplan,NA,30,-0.167447224259377,-0.2,NA,NA
Kevin Smith,36,NA,-0.170112013816833,-0.2,NA,NA
Keury Mella,NA,1.2,-0.171665370464325,-0.2,NA,NA
Chadwick Tromp,18,NA,-0.172217309474945,-0.2,NA,NA
Jake Latz,NA,4.2,-0.172257855534554,-0.2,NA,NA
Jake Hager,30,NA,-0.173888154327869,-0.2,NA,NA
Neftali Feliz,NA,4,-0.174537874758244,-0.2,NA,NA
Mickey Jannis,NA,3.1,-0.17511411011219,-0.2,NA,NA
Jacob Robson,7,NA,-0.176587641239166,-0.2,NA,NA
Paul Campbell,NA,26.2,-0.123248815536499,-0.2,NA,NA
Mike Baumann,NA,10,-0.178320959210396,-0.2,NA,NA
Chris Gittens,44,NA,-0.180232644081116,-0.2,NA,NA
Nivaldo Rodriguez,NA,7.1,-0.183348193764687,-0.2,NA,NA
Zach Reks,10,NA,-0.184592485427856,-0.2,NA,NA
Tanner Roark,NA,7,-0.1858119815588,-0.2,NA,NA
Nick Williams,13,NA,-0.185873627662659,-0.2,NA,NA
Alejo Lopez,23,NA,-0.187869682908058,-0.2,NA,NA
Mike Ford,72,NA,-0.189614072442055,-0.2,NA,NA
Tommy Nance,NA,28.2,-0.167000234127045,-0.2,NA,NA
Mike Tauchman,191,NA,-0.196137519087642,-0.2,NA,NA
Riley Smith,NA,67.1,0.0030579213052988,-0.2,NA,NA
Kyle Wright,NA,6.1,-0.264755457639694,-0.2,NA,NA
Alec Bettinger,NA,10,-0.185364723205566,-0.2,NA,NA
Jake Petricka,NA,6,-0.196900874376297,-0.2,NA,NA
Brad Peacock,NA,5.1,-0.196901232004166,-0.2,NA,NA
Luis Garcia N,247,NA,-0.198434293270111,-0.2,NA,NA
Adam Haseley,21,NA,-0.198654353618622,-0.2,NA,NA
Yairo Munoz,11,NA,-0.200471103191376,-0.2,NA,NA
Johneshwy Fargas,54,NA,-0.201393640134484,-0.2,NA,NA
Justin Garza,NA,28.2,-0.203465014696121,-0.2,NA,NA
Aramis Garcia,94,NA,-0.206870973110199,-0.2,NA,NA
Jorge Bonifacio,12,NA,-0.207879528403282,-0.2,NA,NA
Travis Bergen,NA,10.2,-0.209378004074097,-0.2,NA,NA
Anthony Bemboom,28,NA,-0.156731054186821,-0.2,NA,NA
Yennsy Diaz,NA,25,-0.20661535859108,-0.2,NA,NA
Keegan Thompson,NA,53.1,-0.223038077354431,-0.2,NA,NA
Brent Honeywell,NA,4.1,-0.221312075853348,-0.2,NA,NA
Adam Kolarek,NA,9,-0.223998725414276,-0.2,NA,NA
Wyatt Mathisen,51,NA,-0.233468145132065,-0.2,NA,NA
Jordan Weems,NA,5.2,-0.227483011782169,-0.2,NA,NA
Josh Reddick,158,NA,-0.152915462851524,-0.2,NA,NA
Angel Perdomo,NA,17,-0.229382887482643,-0.2,NA,NA
Trent Giambrone,13,NA,-0.23220120370388,-0.2,NA,NA
Eddy Alvarez,74,NA,-0.23687881231308,-0.2,NA,NA
Justus Sheffield,NA,80.1,-0.2894267141819,-0.2,NA,NA
Seth Frankoff,NA,14.2,-0.249340668320656,-0.2,NA,NA
Riley O'Brien,NA,1.1,-0.238477542996407,-0.2,NA,NA
Alan Trejo,50,NA,-0.240757688879967,-0.2,NA,NA
Hans Crouse,NA,7,-0.232282251119614,-0.2,NA,NA
Jeremy Beasley,NA,9.1,-0.244569346308708,-0.2,NA,NA
Luis Madero,NA,12,-0.235010355710983,-0.2,NA,NA
Sebastian Rivero,44,NA,-0.246330663561821,-0.2,NA,NA
Trevor Megill,NA,23.2,-0.248090341687202,-0.2,NA,NA
Steven Souza Jr.,36,NA,-0.249019369482994,-0.2,NA,NA
Nick Heath,39,NA,-0.250389218330383,-0.3,NA,NA
Manuel Rodriguez,NA,17.2,-0.239903703331947,-0.3,NA,NA
Dustin Fowler,46,NA,-0.253711342811584,-0.3,NA,NA
Mickey Moniak,37,NA,-0.254344969987869,-0.3,NA,NA
JB Bukauskas,NA,17.1,-0.259421706199646,-0.3,NA,NA
Darien Nunez,NA,7.2,-0.261137068271637,-0.3,NA,NA
Max Moroff,16,NA,-0.262054771184921,-0.3,NA,NA
Ryan Feltner,NA,6.1,-0.249368727207184,-0.3,NA,NA
Khalil Lee,18,NA,-0.264371991157532,-0.3,NA,NA
Jackson Kowar,NA,30.1,-0.267716944217682,-0.3,NA,NA
Ryan Borucki,NA,23.2,-0.269345670938492,-0.3,NA,NA
Touki Toussaint,NA,50,-0.182976126670837,-0.3,NA,NA
Brandon Waddell,NA,9.1,-0.26047576405108,-0.3,NA,NA
Mark Payton,24,NA,-0.27783527970314,-0.3,NA,NA
Henry Ramos,55,NA,-0.280051589012146,-0.3,NA,NA
Jose Godoy,40,NA,-0.280626624822617,-0.3,NA,NA
Nick Neidert,NA,35.2,-0.217717975378036,-0.3,NA,NA
Mike Fiers,NA,9.1,-0.294155359268188,-0.3,NA,NA
Jefry Rodriguez,NA,24.1,-0.273802608251572,-0.3,NA,NA
Mike Freeman,65,NA,-0.312605977058411,-0.3,NA,NA
Chad Wallach,66,NA,-0.303122878074646,-0.3,NA,NA
Joshua Fuentes,284,NA,-0.31406569480896,-0.3,NA,NA
Luis Oviedo,NA,29.2,-0.307543009519577,-0.3,NA,NA
Ryan Weber,NA,9.2,-0.310344197787344,-0.3,NA,NA
Robert Stock,NA,9,-0.270294070243835,-0.3,NA,NA
Isaac Paredes,85,NA,-0.31745707988739,-0.3,NA,NA
Tyler Zuber,NA,27.1,-0.308314502239227,-0.3,NA,NA
Darren McCaughan,NA,9,-0.301735043525696,-0.3,NA,NA
Cionel Perez,NA,24,-0.300779700279236,-0.3,NA,NA
Chase De Jong,NA,43.2,-0.28675651550293,-0.3,NA,NA
Mauricio Llovera,NA,6.2,-0.325564503669739,-0.3,NA,NA
Dean Kremer,NA,53.2,-0.32637432217598,-0.3,NA,NA
Ryan McKenna,197,NA,-0.328324049711227,-0.3,NA,NA
Adrian Sampson,NA,35.1,-0.204206481575966,-0.3,NA,NA
Nick Mears,NA,23.1,-0.318812221288681,-0.3,NA,NA
Andre Scrubb,NA,19.2,-0.334425270557404,-0.3,NA,NA
Jesus Tinoco,NA,1.1,-0.339440405368805,-0.3,NA,NA
Jose Marmolejos,122,NA,-0.341771930456161,-0.3,NA,NA
Tucupita Marcano,50,NA,-0.342934727668762,-0.3,NA,NA
PJ Higgins,25,NA,-0.34564071893692,-0.3,NA,NA
Sal Romano,NA,25,-0.32593872398138,-0.3,NA,NA
Aaron Slegers,NA,31,-0.351968318223953,-0.4,NA,NA
Will Craig,65,NA,-0.353347599506378,-0.4,NA,NA
Matt Adams,40,NA,-0.355013281106949,-0.4,NA,NA
Jared Oliva,43,NA,-0.355373114347458,-0.4,NA,NA
Cameron Maybin,33,NA,-0.356669455766678,-0.4,NA,NA
Trent Thornton,NA,49,-0.358365386724472,-0.4,NA,NA
Edward Cabrera,NA,26.1,-0.386707127094269,-0.4,NA,NA
Jason Vosler,82,NA,-0.36410653591156,-0.4,NA,NA
Greg Deichmann,31,NA,-0.364198952913284,-0.4,NA,NA
Mac Sceroler,NA,7.2,-0.364911824464798,-0.4,NA,NA
Jon Duplantier,NA,13,-0.396938443183899,-0.4,NA,NA
Eric Yardley,NA,18.2,-0.388235926628113,-0.4,NA,NA
Jonathan Davis,103,NA,-0.389587514102459,-0.4,NA,NA
Shane Greene,NA,23.2,-0.389703027904034,-0.4,NA,NA
Justin Miller,NA,19,-0.400636315345764,-0.4,NA,NA
Rio Ruiz,141,NA,-0.405761376023293,-0.4,NA,NA
Hyeon-jong Yang,NA,35.1,-0.405763357877731,-0.4,NA,NA
Luke Raley,72,NA,-0.406531363725662,-0.4,NA,NA
Brett de Geus,NA,50,-0.409572288393974,-0.4,NA,NA
John Nogowski,143,NA,-0.436884574592113,-0.4,NA,NA
Jake Jewell,NA,10,-0.415716469287872,-0.4,NA,NA
Ryan Hendrix,NA,31.2,-0.415505945682526,-0.4,NA,NA
Scott Schebler,34,NA,-0.428423166275024,-0.4,NA,NA
Luis Rengifo,190,NA,-0.448706299066544,-0.4,NA,NA
Wander Suero,NA,42.2,-0.437450259923935,-0.4,NA,NA
Drew Ellis,83,NA,-0.452263325452805,-0.5,NA,NA
Brandyn Sittinger,NA,4.2,-0.458762317895889,-0.5,NA,NA
Richie Martin,105,NA,-0.46235466003418,-0.5,NA,NA
Edgar Garcia,NA,14.2,-0.46528859436512,-0.5,NA,NA
Cory Abbott,NA,17.1,-0.50395405292511,-0.5,NA,NA
Vidal Brujan,26,NA,-0.472921550273895,-0.5,NA,NA
Beau Burrows,NA,11,-0.47844463493675,-0.5,NA,NA
Trevor Stephan,NA,63.1,-0.48053640127182,-0.5,NA,NA
Corbin Martin,NA,16,-0.508092224597931,-0.5,NA,NA
Zach McKinstry,172,NA,-0.481995314359665,-0.5,NA,NA
Miguel Yajure,NA,15,-0.452798336744308,-0.5,NA,NA
Kean Wong,66,NA,-0.491172164678574,-0.5,NA,NA
Kevan Smith,106,NA,-0.494486878626049,-0.5,NA,NA
Daniel Ponce de Leon,NA,33.1,-0.452230870723724,-0.5,NA,NA
Phillip Evans,247,NA,-0.515679955482483,-0.5,NA,NA
Buck Farmer,NA,35.1,-0.510491967201233,-0.5,NA,NA
Shed Long Jr.,121,NA,-0.518216669559479,-0.5,NA,NA
Wes Benjamin,NA,22.2,-0.525358140468597,-0.5,NA,NA
JC Mejia,NA,52.1,-0.519244015216827,-0.5,NA,NA
Victor Robles,369,NA,-0.53159236907959,-0.5,NA,NA
Jarren Duran,112,NA,-0.542093932628632,-0.5,NA,NA
Gregory Santos,NA,2,-0.549903690814972,-0.5,NA,NA
Albert Abreu,NA,36.2,-0.552442491054535,-0.6,NA,NA
Kelvin Gutierrez,295,NA,-0.575772568583488,-0.6,NA,NA
Jerad Eickhoff,NA,19.2,-0.728240072727203,-0.6,NA,NA
Ka'ai Tom,133,NA,-0.604073256254196,-0.6,NA,NA
Luis Campusano,38,NA,-0.587289392948151,-0.6,NA,NA
Jahmai Jones,72,NA,-0.607730805873871,-0.6,NA,NA
Sheldon Neuse,66,NA,-0.608680844306946,-0.6,NA,NA
Andrew Albers,NA,19,-0.612953305244446,-0.6,NA,NA
Stevie Wilkerson,76,NA,-0.571250796318054,-0.6,NA,NA
Kyle Keller,NA,33.1,-0.627155423164368,-0.6,NA,NA
TJ Zeuch,NA,15,-0.628858029842377,-0.6,NA,NA
Kohei Arihara,NA,40.2,-0.612170577049255,-0.6,NA,NA
Chance Sisco,83,NA,-0.642899073660374,-0.6,NA,NA
Gilberto Celestino,62,NA,-0.655440330505371,-0.7,NA,NA
Zack Short,184,NA,-0.655985772609711,-0.7,NA,NA
Brooks Kriske,NA,11.1,-0.659654594957829,-0.7,NA,NA
Curtis Terry,48,NA,-0.662866175174713,-0.7,NA,NA
Robel Garcia,117,NA,-0.565850615501404,-0.7,NA,NA
Cristian Pache,68,NA,-0.68172824382782,-0.7,NA,NA
Isan Diaz,277,NA,-0.683061182498932,-0.7,NA,NA
Matt Shoemaker,NA,60.1,-0.689043939113617,-0.7,NA,NA
Jarred Kelenic,377,NA,-0.6915123462677,-0.7,NA,NA
Carter Kieboom,249,NA,-0.69190639257431,-0.7,NA,NA
Drew Butera,36,NA,-0.716096818447113,-0.7,NA,NA
Albert Almora Jr.,54,NA,-0.632626473903656,-0.7,NA,NA
Keston Hiura,197,NA,-0.731018424034119,-0.7,NA,NA
Ryan O'Hearn,254,NA,-0.7375568151474,-0.7,NA,NA
Griffin Jax,NA,82,-0.710873007774353,-0.7,NA,NA
Franchy Cordero,136,NA,-0.75909411907196,-0.8,NA,NA
Ildemaro Vargas,83,NA,-0.763010486960411,-0.8,NA,NA
Justin Williams,137,NA,-0.790920853614807,-0.8,NA,NA
Domingo Leyba,96,NA,-0.882870048284531,-0.9,NA,NA
David Hess,NA,20,-0.935023590922356,-1,NA,NA
Austin Wynns,139,NA,-0.941054403781891,-1,NA,NA
Alex Young,NA,52,-0.986974239349365,-1,NA,NA
Owen Miller,202,NA,-1.10185599327087,-1.1,NA,NA
Adam Plutko,NA,56.1,-1.18727374076843,-1.2,NA,NA
